Company,Location HQ,Industry,# Laid Off,%,Date,Source,$ Raised (mm),Stage,Date Added,Country,List of Employees Laid Off
Tier Mobility,"Berlin,Non-U.S.",Transportation,180,0.16,2022-08-23T00:00:00.000Z,https://techcrunch.com/2022/08/23/tier-mobility-lays-off-180-people-amid-poor-funding-climate/,646,Series D,2022-08-23T20:15:48.000Z,Germany,
Packable,New York City,Retail,138,0.2,2022-08-23T00:00:00.000Z,"https://www.cnbc.com/2022/08/23/amazon-seller-packable-lays-off-employees-begins-liquidating.html#:~:text=Investing%20Club-,Top%20Amazon%20seller%20Packable%20begins%20liquidating%20and,cuts%20after%20failed%20SPAC%20attempt&text=Packable%2C%20the%20parent%20company%20of,to%20documents%20viewed%20by%20CNBC.",472,Unknown,2022-08-24T23:37:17.000Z,United States,
Q4,"Toronto,Non-U.S.",Other,50,0.08,2022-08-23T00:00:00.000Z,https://www.theglobeandmail.com/business/article-q4-inc-layoffs-canada/,91,Series C,2022-08-24T03:26:48.000Z,Canada,
Skedulo,SF Bay Area,HR,31,0.08,2022-08-23T00:00:00.000Z,Internal memo,114,Series C,2022-08-29T17:27:32.000Z,United States,
Plato,SF Bay Area,HR,29,0.5,2022-08-23T00:00:00.000Z,Company exec,3,Seed,2022-08-26T20:46:11.000Z,United States,
DataRobot,Boston,Data,,0.26,2022-08-23T00:00:00.000Z,https://www.theinformation.com/briefings/datarobot-lays-off-26-as-business-challenges-mount,1000,Series G,2022-08-23T20:03:33.000Z,United States,
Kogan,"Melbourne,Non-U.S.",Retail,,,2022-08-23T00:00:00.000Z,https://www.smartcompany.com.au/industries/retail/kogan-financial-report-losses-e-commerce-online-shopping/,,Post-IPO,2022-08-25T03:51:57.000Z,Australia,
Skillshare,New York City,Education,,,2022-08-23T00:00:00.000Z,Internal memo,136,Unknown,2022-08-31T16:34:43.000Z,United States,
Mr. Yum,"Melbourne,Non-U.S.",Food,,0.17,2022-08-22T00:00:00.000Z,https://www.linkedin.com/feed/update/urn:li:activity:6967423162909130752/,73,Series A,2022-08-23T03:39:50.000Z,United States,
ShopX,"Bengaluru,Non-U.S.",Retail,,1,2022-08-22T00:00:00.000Z,https://entrackr.com/2022/08/exclusive-nandan-nilekani-backed-shopx-shuts-shop/,56,Unknown,2022-08-24T03:25:23.000Z,India,
NSO,"Tel Aviv,Non-U.S.",Security,100,0.14,2022-08-21T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/hjb0095yyi,1,Seed,2022-08-22T15:24:01.000Z,Israel,
Tufin,Boston,Security,55,0.1,2022-08-21T00:00:00.000Z,https://en.globes.co.il/en/article-israeli-cybersecurity-co-tufin-lays-off-55-1001421995,21,Acquired,2022-08-22T15:24:49.000Z,United States,
